object_type,object_id,st_astext
way,48210154,POINT (31.214040 30.090924)
way,48210154,POINT (31.214379 30.092021)
way,30122826,POINT (31.217781 30.090506)
way,41693944,POINT (31.356590 30.102306)
way,41693943,POINT (31.356683 30.102189)
way,266290985,POINT (31.397486 30.112560)
way,266290983,POINT (31.397556 30.112324)
way,135335426,POINT (31.631310 30.109547)
way,135335431,POINT (31.630736 30.112967)
way,135335444,POINT (31.630638 30.112937)
way,135335447,POINT (31.631134 30.109567)
way,93178290,POINT (31.398134 30.116788)
way,174670859,POINT (31.398540 30.116455)
way,53659380,POINT (31.398776 30.124051)
way,151217112,POINT (31.402224 30.122681)
way,5020063,POINT (31.420534 30.147939)
way,52871681,POINT (31.420969 30.147819)
way,267222159,POINT (31.200411 30.348950)
way,267222150,POINT (31.200628 30.349693)
way,267229558,POINT (31.200636 30.349973)
way,267222153,POINT (31.201045 30.348483)
way,267222156,POINT (31.201081 30.348739)
way,267222155,POINT (31.201099 30.348933)
way,147343424,POINT (31.202011 30.359938)
way,93626012,POINT (31.202017 30.360081)
way,87357126,POINT (31.193251 30.467050)
way,88217268,POINT (31.010884 30.560429)
way,88217247,POINT (31.011245 30.560434)
way,99242219,POINT (31.010231 30.573342)
way,99242219,POINT (31.010865 30.571782)
way,99242219,POINT (31.010913 30.571665)
way,307013816,POINT (31.511462 30.589448)
way,307013816,POINT (31.511865 30.589307)
way,94129773,POINT (30.989790 30.784903)
way,87346175,POINT (30.989985 30.783418)
way,94129737,POINT (30.987513 30.790029)
way,97523379,POINT (30.998509 30.786175)
way,97523293,POINT (31.002090 30.788772)
way,97506510,POINT (31.003120 30.788644)
way,97505901,POINT (31.003496 30.793126)
way,97523423,POINT (30.995045 30.786624)
way,97506489,POINT (31.010074 30.788832)
way,97506504,POINT (31.005221 30.787527)
way,97506505,POINT (31.009121 30.787898)
way,97535481,POINT (31.009960 30.785460)
way,304189080,POINT (31.458475 30.885189)
way,304189080,POINT (31.458312 30.884766)
way,304189080,POINT (31.458195 30.884460)
way,95806928,POINT (31.391408 31.017406)
way,146505141,POINT (31.367656 31.035284)
way,180185670,POINT (31.383149 31.036874)
way,185975527,POINT (31.390436 31.045782)
way,185972552,POINT (31.392791 31.050417)
way,228236629,POINT (30.944081 31.107966)
way,314049163,POINT (33.806659 31.126825)
way,314195968,POINT (33.809794 31.132571)
way,28816245,POINT (29.957610 31.211011)
way,28816245,POINT (29.958581 31.210704)
way,157602680,POINT (29.937712 31.217220)
way,34602798,POINT (29.952391 31.222678)
way,157600134,POINT (29.951198 31.228788)
way,178290174,POINT (29.954318 31.229838)
way,301269183,POINT (29.962847 31.238484)
way,157631325,POINT (29.961674 31.240297)
way,42299608,POINT (29.960323 31.240488)
way,97406326,POINT (29.971741 31.246748)
way,178293781,POINT (29.971936 31.249145)
way,338052905,POINT (29.974768 31.251906)
way,97406388,POINT (29.996863 31.252816)
way,97406395,POINT (29.995539 31.254298)
way,312666889,POINT (32.317502 31.254487)
way,26136254,POINT (34.789393 31.252832)
